"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7941","test_login_user_with_incorrect_credentials","pytest","Sat Sep 07 16:09:47 UTC 2024","passed","Sat Sep 07 16:09:55 UTC 2024","","test_login_user","",""
"","19622","test_register_user_with_existing_email","pytest","Sat Sep 07 16:09:47 UTC 2024","passed","Sat Sep 07 16:10:06 UTC 2024","","test_register_user","",""
"This test case searches for a product and verifies the search results.","15426","Search Product and Verify Results","pytest","Sat Sep 07 16:09:47 UTC 2024","failed","Sat Sep 07 16:10:02 UTC 2024","","test_product_search","",""
"","8398","test_verify_all_products_and_detail_page","pytest","Sat Sep 07 16:10:06 UTC 2024","passed","Sat Sep 07 16:10:15 UTC 2024","","test_verify_all_products_and_detail_page","",""
"","16217","test_register_user","pytest","Sat Sep 07 16:10:02 UTC 2024","passed","Sat Sep 07 16:10:18 UTC 2024","","test_register_user","",""
"","19797","test_verify_subscription_visible","pytest","Sat Sep 07 16:10:08 UTC 2024","passed","Sat Sep 07 16:10:28 UTC 2024","","test_verify_subscription_visible","",""
"","13873","test_add_products_to_cart","pytest","Sat Sep 07 16:09:47 UTC 2024","passed","Sat Sep 07 16:10:01 UTC 2024","","test_add_products_to_cart","",""
"","29374","Test Case 15: Place Order: Register before Checkout","pytest","Sat Sep 07 16:09:47 UTC 2024","passed","Sat Sep 07 16:10:16 UTC 2024","","test_place_order_register_before_checkout","",""
"","20725","test_logout_user","pytest","Sat Sep 07 16:09:55 UTC 2024","passed","Sat Sep 07 16:10:16 UTC 2024","","test_login_user","",""
"","9828","test_contact_us_form","pytest","Sat Sep 07 16:09:47 UTC 2024","passed","Sat Sep 07 16:09:56 UTC 2024","","test_contact_us_form","",""
"","7177","test_verify_test_cases_page","pytest","Sat Sep 07 16:10:01 UTC 2024","passed","Sat Sep 07 16:10:08 UTC 2024","","test_cases","",""
"","23189","test_login_user_with_correct_credentials","pytest","Sat Sep 07 16:09:57 UTC 2024","passed","Sat Sep 07 16:10:20 UTC 2024","","test_login_user","",""
"","14592","test_place_order_register_while_checkout","pytest","Sat Sep 07 16:10:16 UTC 2024","passed","Sat Sep 07 16:10:31 UTC 2024","","test_place_order_register_while_checkout","",""
"","5222","test_verify_product_quantity_in_cart","pytest","Sat Sep 07 16:10:16 UTC 2024","passed","Sat Sep 07 16:10:21 UTC 2024","","test_verify_product_quantity_in_cart","",""
"","10191","test_verify_subscription_in_cart","pytest","Sat Sep 07 16:10:20 UTC 2024","passed","Sat Sep 07 16:10:30 UTC 2024","","test_verify_subscription_in_cart","",""
